LECROYWR64Xi,10075,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,05-Dec-2013 13:18:33,0                 
Time,Ampl
4.57999515e-005,-0.00188153
4.58001515e-005,-0.00188153
4.58003515e-005,-0.00134395
4.58005515e-005,-0.00107516
4.58007515e-005,-0.00161274
4.58009515e-005,-0.00107516
4.58011515e-005,-0.00134395
4.58013515e-005,-0.00188153
4.58015515e-005,-0.00215032
4.58017515e-005,-0.00215032
4.58019515e-005,-0.00215032
4.58021515e-005,-0.00188153
4.58023515e-005,-0.00161274
4.58025515e-005,-0.00134395
4.58027515e-005,-0.000806369
4.58029515e-005,-0.00134395
4.58031515e-005,-0.00215032
4.58033515e-005,-0.00107516
4.58035515e-005,-0.00188153
4.58037515e-005,-0.00188153
4.58039515e-005,-0.00215032
4.58041515e-005,-0.00161274
4.58043515e-005,-0.00215032
4.58045515e-005,-0.00188153
4.58047515e-005,-0.00188153
4.58049515e-005,-0.00161274
4.58051515e-005,-0.00161274
4.58053515e-005,-0.00161274
4.58055515e-005,-0.00215032
4.58057515e-005,-0.00188153
4.58059515e-005,-0.00188153
4.58061515e-005,-0.00134395
4.58063515e-005,-0.00134395
4.58065515e-005,-0.000806369
4.58067515e-005,-0.00107516
4.58069515e-005,-0.00134395
4.58071515e-005,-0.000806369
4.58073515e-005,-0.000806369
4.58075515e-005,-0.000537579
4.58077515e-005,-0.000806369
4.58079515e-005,-0.000806369
4.58081515e-005,-0.00107516
4.58083515e-005,-0.00134395
4.58085515e-005,-0.000806369
4.58087515e-005,-0.000806369
4.58089515e-005,-0.00107516
4.58091515e-005,-0.000806369
4.58093515e-005,-0.000806369
4.58095515e-005,-0.00107516
4.58097515e-005,-0.00107516
4.58099515e-005,-0.00107516
4.58101515e-005,-0.00107516
4.58103515e-005,-0.00161274
4.58105515e-005,-0.00107516
4.58107515e-005,-0.00107516
4.58109515e-005,-0.00161274
4.58111515e-005,-0.00134395
4.58113515e-005,-0.00107516
4.58115515e-005,-0.00161274
4.58117515e-005,-0.00107516
4.58119515e-005,-0.000806369
4.58121515e-005,-0.00134395
4.58123515e-005,-0.00134395
4.58125515e-005,-0.00107516
4.58127515e-005,-0.00134395
4.58129515e-005,-0.000806369
4.58131515e-005,-0.00107516
4.58133515e-005,-0.00134395
4.58135515e-005,-0.00134395
4.58137515e-005,-0.00134395
4.58139515e-005,-0.00161274
4.58141515e-005,-0.00134395
4.58143515e-005,-0.000806369
4.58145515e-005,-0.000806369
4.58147515e-005,-0.00107516
4.58149515e-005,-0.00107516
4.58151515e-005,-0.00107516
4.58153515e-005,-0.000806369
4.58155515e-005,-0.00107516
4.58157515e-005,-0.00161274
4.58159515e-005,-0.00188153
4.58161515e-005,-0.00215032
4.58163515e-005,-0.00188153
4.58165515e-005,-0.00161274
4.58167515e-005,-0.00161274
4.58169515e-005,-0.00161274
4.58171515e-005,-0.00215032
4.58173515e-005,-0.00215032
4.58175515e-005,-0.00215032
4.58177515e-005,-0.00188153
4.58179515e-005,-0.00134395
4.58181515e-005,-0.00161274
4.58183515e-005,-0.00215032
4.58185515e-005,-0.00188153
4.58187515e-005,-0.00188153
4.58189515e-005,-0.00215032
4.58191515e-005,-0.00161274
4.58193515e-005,-0.00107516
4.58195515e-005,-0.00107516
4.58197515e-005,-0.000806369
4.58199515e-005,-0.00107516
4.58201515e-005,-0.000806369
4.58203515e-005,-0.00107516
4.58205515e-005,-0.000537579
4.58207515e-005,0
4.58209515e-005,0.00026879
4.58211515e-005,0.000537579
4.58213515e-005,0.00026879
4.58215515e-005,0
4.58217515e-005,0.00026879
4.58219515e-005,0.000537579
4.58221515e-005,0.000537579
4.58223515e-005,0.000806369
4.58225515e-005,0.000537579
4.58227515e-005,0.000537579
4.58229515e-005,0.00107516
4.58231515e-005,0.000806369
4.58233515e-005,0.00107516
4.58235515e-005,0.00134395
4.58237515e-005,0.00107516
4.58239515e-005,0.000806369
4.58241515e-005,0.00107516
4.58243515e-005,0.00026879
4.58245515e-005,0
4.58247515e-005,0
4.58249515e-005,0
4.58251515e-005,0.00026879
4.58253515e-005,0
4.58255515e-005,0.000537579
4.58257515e-005,0.000806369
4.58259515e-005,0
4.58261515e-005,0
4.58263515e-005,0
4.58265515e-005,0
4.58267515e-005,0
4.58269515e-005,0
4.58271515e-005,-0.00026879
4.58273515e-005,0
4.58275515e-005,-0.00026879
4.58277515e-005,0.000537579
4.58279515e-005,0.00026879
4.58281515e-005,0
4.58283515e-005,-0.000537579
4.58285515e-005,-0.000537579
4.58287515e-005,-0.00026879
4.58289515e-005,-0.000537579
4.58291515e-005,-0.000537579
4.58293515e-005,-0.00107516
4.58295515e-005,-0.000537579
4.58297515e-005,-0.000537579
4.58299515e-005,-0.000806369
4.58301515e-005,-0.00134395
4.58303515e-005,-0.00107516
4.58305515e-005,-0.00107516
4.58307515e-005,-0.000537579
4.58309515e-005,0
4.58311515e-005,0.000537579
4.58313515e-005,0
4.58315515e-005,0.00026879
4.58317515e-005,0.000537579
4.58319515e-005,0.00026879
4.58321515e-005,0.00026879
4.58323515e-005,0
4.58325515e-005,0.00026879
4.58327515e-005,0.00026879
4.58329515e-005,0
4.58331515e-005,-0.000537579
4.58333515e-005,0
4.58335515e-005,0
4.58337515e-005,0.000806369
4.58339515e-005,0
